;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;192315;52187;15937;9308;6861;1602;2480;129;481;671;336;273;892;1034;836;2592;300;831;621;3407;2006;0;0;1540;0;39;296679
D30-02;51717;223081;5859;18739;20165;950;1146;178;178;371;69;0;151;730;643;5007;90;651;615;1340;1243;88;0;2176;0;0;335187
D30-03;16961;5563;142060;3001;2035;12832;9567;0;0;96;172;0;93;1226;487;743;41;285;277;5644;4966;0;0;1393;0;0;207441
D30-04;9525;17424;3116;100966;3150;613;356;0;341;30;81;278;119;203;495;5217;0;232;1743;2496;164;0;0;1103;0;0;147650
D30-05;7348;20182;2201;2981;70998;394;2343;84;179;181;291;286;724;1741;1928;2859;99;697;316;717;860;0;51;813;0;0;118273
D30-06;1767;1010;12564;966;380;29408;396;0;0;76;0;0;46;0;0;0;0;0;277;5644;1621;0;0;513;0;0;54670
D30-07;2285;1098;7288;300;2018;661;50359;0;0;0;139;0;32;2953;146;293;0;214;0;0;2166;0;0;203;0;0;70154
D30-08;0;387;55;92;96;0;0;44189;6453;1475;994;667;275;110;228;95;0;0;56;0;0;0;0;1438;0;0;56610
D30-09;366;521;88;289;170;0;0;7378;89041;9476;4602;203;55;790;0;42;0;91;0;51;66;0;0;314;0;0;113542
D30-10;590;122;270;120;235;31;0;1645;9931;76289;19203;3831;618;2063;291;0;161;68;53;78;0;0;0;391;0;0;115988
D30-11;296;43;172;32;312;0;139;843;4143;18679;120708;849;654;2928;289;0;155;51;0;0;0;0;0;457;0;0;150751
D30-12;263;0;0;187;127;0;0;667;206;3740;822;43668;1883;30;552;43;1203;128;0;0;0;0;117;546;0;109;54293
D30-13;806;122;93;376;451;46;102;326;55;544;681;1953;31149;161;1657;717;323;22;71;49;0;0;0;220;0;0;39925
D30-14;1194;1179;1017;145;1403;0;2409;137;911;2171;2689;30;199;139657;47;0;0;326;90;326;2906;0;0;954;0;74;157864
D30-15;336;708;95;303;1930;0;146;197;0;216;297;726;1460;47;39797;3024;689;1935;0;51;67;0;61;55;0;0;52141
D30-16;2409;4225;649;5397;2573;0;133;84;0;29;0;82;565;42;3227;66449;170;2205;3220;328;285;0;0;328;0;187;92585
D30-17;378;90;0;90;44;0;0;0;0;99;193;1139;186;105;739;106;26772;370;0;0;0;0;2832;817;0;0;33958
D30-18;793;500;248;90;506;0;214;0;51;452;0;63;148;258;1249;1644;228;88008;1326;127;0;0;40;1585;0;73;97604
D30-19;878;604;188;1290;391;225;0;0;0;0;0;0;0;90;0;2751;0;1685;92076;480;0;320;71;2862;0;90;104001
D30-20;3355;1416;4703;2339;518;5448;114;0;52;78;0;0;100;321;51;261;0;168;426;131511;1592;77;0;4019;0;215;156761
D30-21;1691;1269;5391;78;829;1233;2025;0;66;0;0;0;0;2510;0;285;0;0;82;1341;82877;0;0;2345;0;51;102073
D30-22;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;492;218;0;0;0;0;0;0;798
D30-EXT1;0;0;0;0;51;0;0;61;0;0;0;134;0;0;0;0;2534;120;0;0;0;0;0;0;0;0;2901
D30-EXT2;2381;2430;1492;1542;1252;1129;203;1482;791;464;564;512;206;2176;111;512;802;1937;3415;3931;2958;0;0;0;0;0;30292
D30-EXT3;114;0;0;0;0;21;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173
D30-Ind;39;0;0;0;0;0;0;0;0;0;0;170;0;144;0;0;41;0;90;394;0;0;0;0;0;0;878
total;297807;334249;203487;148631;116495;54593;72132;57400;112880;115136;151878;54864;39554;159319;52775;92639;33607;100024;105246;158133;103777;485;3172;24073;0;837;2593194
