;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;total
D30-01;45;0;4403;32437;25819;18426;7177;38715;1398;2266;130687
D30-02;42;118;4975;26886;25155;36655;17771;42933;2431;3581;160548
D30-03;69;215;3090;12795;19925;20492;11732;21812;701;2578;93409
D30-04;0;472;2622;12960;15747;12331;6210;21456;451;1379;73627
D30-05;0;293;1732;7050;10761;11303;6165;13248;272;691;51517
D30-06;0;434;1477;3472;4488;5718;3377;6627;63;541;26198
D30-07;0;503;906;4264;6127;8748;5773;10188;245;656;37411
D30-08;0;9068;3409;0;298;5861;2018;8784;756;241;30435
D30-09;0;1244;3932;7946;6820;12137;5221;7714;251;1213;46478
D30-10;0;462;2098;3955;9359;14316;10585;11581;341;2274;54970
D30-11;0;146;2400;8412;10006;16489;11525;13405;948;1818;65149
D30-12;0;12071;2496;157;210;6307;1181;7176;1408;328;31332
D30-13;0;9265;2026;0;274;5346;1058;4094;737;82;22882
D30-14;0;28593;8268;0;1233;16030;4134;20821;2439;476;81995
D30-15;0;9926;2788;184;740;5704;594;4935;1017;150;26038
D30-16;0;22481;5436;0;2254;12942;1121;9431;1330;179;55174
D30-17;0;6462;1581;73;669;4009;1010;5193;782;359;20138
D30-18;0;19618;5492;0;968;11252;3546;12361;1566;926;55729
D30-19;0;23572;6033;203;724;12299;2259;11503;1282;292;58167
D30-20;0;38605;10031;127;2016;19588;3142;16601;1193;327;91631
D30-21;0;26398;4932;89;1314;13029;1902;11847;1190;487;61186
D30-22;0;4061;662;0;280;1965;282;1791;55;98;9194
total;157;214010;80791;121009;145185;270950;107782;302215;20856;20942;1283896
